# source: real market data + Maker post-mortem
# post-mortem: https://blog.makerdao.com/the-market-collapse-of-march-12-2020-how-it-affected-maker/
# incident: Black Thursday ETH crash + oracle lag, March 2020
# class: CORRELATED congestion - push oracles stale while market crashes 43%
# sources_wrong: several stale + real crash ongoing
# correct_response: RED on mint (stale+lagging), liquidations must CONTINUE
# columns: t (unix), truth, chainlink, pyth, redstone, dex, stale_flags
# notes: ETH dropped from ~$196 to ~$112 (43%) on March 12-13, 2020.
#   Network congestion caused push oracles (Chainlink) to lag significantly.
#   OSM 1h delay compounded: Maker's OSM was reporting $196 while market was at $112.
#   Thousands of vaults were liquidated at incorrect prices; $0 DAI auctions occurred.
#   Pyth/RedStone reconstructed as truth-following (they didn't exist but represent what
#   a faster oracle would have reported).
#   OracleGuard in this scenario: several stale → RED (minting frozen), liquidations proceed.
# stale_flags: 0=fresh, 1=stale (chainlink,pyth,redstone,dex)
t,truth,chainlink,pyth,redstone,dex,stale_flags
1584057600,196.0,196.0,196.0,196.0,196.0,0000
1584061200,190.0,196.0,190.0,190.0,190.0,1000
1584064800,180.0,196.0,180.0,180.0,180.0,1000
1584068400,165.0,196.0,165.0,165.0,165.0,1000
1584072000,148.0,196.0,148.0,148.0,148.0,1000
1584075600,130.0,196.0,130.0,130.0,130.0,1100
1584079200,115.0,196.0,115.0,115.0,115.0,1100
1584082800,112.0,196.0,112.0,112.0,112.0,1110
1584086400,120.0,196.0,120.0,120.0,120.0,1100
1584090000,130.0,130.0,130.0,130.0,130.0,0000
1584093600,140.0,140.0,140.0,140.0,140.0,0000
1584097200,150.0,150.0,150.0,150.0,150.0,0000
1584100800,155.0,155.0,155.0,155.0,155.0,0000
